0,SL,PL,PW,SW,Class
51,5,3.3,1,2.3,2
52,4.9,3.3,1,2.4,2
53,5,3.5,1,2,2
54,5.7,3.5,1,2.6,2
55,5.5,3.7,1,2.4,2
56,6,4,1,2.2,2
57,5.8,4.1,1,2.7,2
58,5.1,3,1.1,2.5,2
59,5.5,3.8,1.1,2.4,2
60,5.6,3.9,1.1,2.5,2
61,5.8,3.9,1.2,2.7,2
62,5.8,4,1.2,2.6,2
63,5.7,4.2,1.2,3,2
64,5.5,4.4,1.2,2.6,2
65,6.1,4.7,1.2,2.8,2
66,5.6,3.6,1.3,2.9,2
67,5.5,4,1.3,2.3,2
68,5.5,4,1.3,2.5,2
69,6.1,4,1.3,2.8,2
70,5.7,4.1,1.3,2.8,2
71,5.6,4.1,1.3,3,2
72,5.6,4.2,1.3,2.7,2
73,5.7,4.2,1.3,2.9,2
74,6.2,4.3,1.3,2.9,2
75,6.4,4.3,1.3,2.9,2
76,6.3,4.4,1.3,2.3,2
77,5.7,4.5,1.3,2.8,2
78,6.6,4.6,1.3,2.9,2
79,5.2,3.9,1.4,2.7,2
80,6.6,4.4,1.4,3,2
81,6.7,4.4,1.4,3.1,2
82,6.1,4.6,1.4,3,2
83,6.1,4.7,1.4,2.9,2
84,7,4.7,1.4,3.2,2
85,6.8,4.8,1.4,2.8,2
86,5.9,4.2,1.5,3,2
87,6.2,4.5,1.5,2.2,2
88,6,4.5,1.5,2.9,2
89,5.4,4.5,1.5,3,2
90,5.6,4.5,1.5,3,2
91,6.4,4.5,1.5,3.2,2
92,6.5,4.6,1.5,2.8,2
93,6.7,4.7,1.5,3.1,2
94,6.3,4.9,1.5,2.5,2
95,6.9,4.9,1.5,3.1,2
96,6,4.5,1.6,3.4,2
97,6.3,4.7,1.6,3.3,2
98,6,5.1,1.6,2.7,2
99,6.7,5,1.7,3,2
100,5.9,4.8,1.8,3.2,2
101,6.1,5.6,1.4,2.6,3
102,6,5,1.5,2.2,3
103,6.3,5.1,1.5,2.8,3
104,7.2,5.8,1.6,3,3
105,4.9,4.5,1.7,2.5,3
106,6.2,4.8,1.8,2.8,3
107,6,4.8,1.8,3,3
108,6.3,4.9,1.8,2.7,3
109,6.1,4.9,1.8,3,3
110,5.9,5.1,1.8,3,3
111,6.5,5.5,1.8,3,3
112,6.4,5.5,1.8,3.1,3
113,6.3,5.6,1.8,2.9,3
114,6.7,5.8,1.8,2.5,3
115,7.2,6,1.8,3.2,3
116,7.3,6.3,1.8,2.9,3
117,6.3,5,1.9,2.5,3
118,5.8,5.1,1.9,2.7,3
119,5.8,5.1,1.9,2.7,3
120,6.4,5.3,1.9,2.7,3
121,7.4,6.1,1.9,2.8,3
122,5.6,4.9,2,2.8,3
123,5.7,5,2,2.5,3
124,6.5,5.1,2,3.2,3
125,6.5,5.2,2,3,3
126,7.9,6.4,2,3.8,3
127,7.7,6.7,2,2.8,3
128,6.9,5.4,2.1,3.1,3
129,6.8,5.5,2.1,3,3
130,6.4,5.6,2.1,2.8,3
131,6.7,5.7,2.1,3.3,3
132,7.1,5.9,2.1,3,3
133,7.6,6.6,2.1,3,3
134,6.4,5.6,2.2,2.8,3
135,6.5,5.8,2.2,3,3
136,7.7,6.7,2.2,3.8,3
137,6.9,5.1,2.3,3.1,3
138,6.7,5.2,2.3,3,3
139,6.4,5.3,2.3,3.2,3
140,6.2,5.4,2.3,3.4,3
141,6.9,5.7,2.3,3.2,3
142,6.8,5.9,2.3,3.2,3
143,7.7,6.1,2.3,3,3
144,7.7,6.9,2.3,2.6,3
145,5.8,5.1,2.4,2.8,3
146,6.7,5.6,2.4,3.1,3
147,6.3,5.6,2.4,3.4,3
148,6.7,5.7,2.5,3.3,3
149,6.3,6,2.5,3.3,3
150,7.2,6.1,2.5,3.6,3
